booking_id,booking_status,booking_channel,airline,rule_category,clean_text
CLR-01202,Ticketed,B2C_Website,KLM,Other,emd for ancillary service not reflecting
CLR-01227,Confirmed,B2C_Website,Air Canada,Other,connection time too short missed connecting flight
CLR-01232,Refunded,B2B_Agent,Emirates,Other,seat allocation issue paid for window got middle
CLR-01236,Refunded,B2B_Agent,Air Canada,Baggage,baggage not received at destination
CLR-01244,Ticketed,B2B_Agent,British Airways,Other,flight delayed by 3 hours requesting compensation
CLR-01272,Ticketed,B2B_Agent,American Airlines,Other,pnr not found in airline system after ticketing
CLR-01284,Ticketed,B2C_Website,Condor,Ticketing Issues,visa rejected but non refundable ticket purchased
CLR-01295,Refunded,B2B_Agent,British Airways,Other,emd for ancillary service not reflecting
CLR-01303,Confirmed,B2B_Agent,Singapore Airlines,Baggage,unable to add extra baggage through portal
CLR-01336,Refunded,Mobile_App,Emirates,Ticketing Issues,visa rejected but non refundable ticket purchased
CLR-01343,Confirmed,API_Partner,Condor,Other,duplicate charge on credit card for same booking
CLR-01347,Cancelled,B2B_Agent,Singapore Airlines,Baggage,unable to add extra baggage through portal
CLR-01349,Ticketed,API_Partner,Air France,Other,pnr not found in airline system after ticketing
CLR-01352,Refunded,B2B_Agent,KLM,Ticketing Issues,name spelling error on ticket needs correction
CLR-01363,Cancelled,API_Partner,Lufthansa,Other,duplicate charge on credit card for same booking
CLR-01367,Ticketed,B2B_Agent,Air France,Other,meal preference not available onboard
CLR-01372,Refunded,B2B_Agent,American Airlines,Other,emd for ancillary service not reflecting
CLR-01380,Confirmed,Mobile_App,Condor,Other,seat allocation issue paid for window got middle
CLR-01385,Ticketed,B2C_Website,Singapore Airlines,Other,seat allocation issue paid for window got middle
CLR-01392,Ticketed,Mobile_App,Condor,Other,emd for ancillary service not reflecting
CLR-01396,Refunded,Mobile_App,Emirates,Pricing Error,fare difference charged incorrectly during rebooking
CLR-01402,Cancelled,B2B_Agent,Emirates,Ticketing Issues,name spelling error on ticket needs correction
CLR-01414,Confirmed,B2B_Agent,KLM,Refund Issues,refund not processed after 30 days
CLR-01420,Ticketed,API_Partner,Etihad Airways,Refund Issues,refund not processed after 30 days
CLR-01444,Refunded,B2B_Agent,Etihad Airways,Other,flight delayed by 3 hours requesting compensation
CLR-01448,Confirmed,B2C_Website,Lufthansa,Other,seat allocation issue paid for window got middle
CLR-01455,Refunded,B2B_Agent,Air France,Other,flight delayed by 3 hours requesting compensation
CLR-01475,Refunded,B2C_Website,Air Canada,Ticketing Issues,visa rejected but non refundable ticket purchased
CLR-01480,Cancelled,B2C_Website,Air France,Baggage,baggage not received at destination
CLR-01493,Confirmed,Mobile_App,British Airways,Other,emd for ancillary service not reflecting
CLR-01498,Ticketed,B2B_Agent,Air Canada,Other,emd for ancillary service not reflecting
CLR-01517,Refunded,B2B_Agent,British Airways,Other,emd for ancillary service not reflecting
CLR-01525,Ticketed,Mobile_App,Lufthansa,Other,emd for ancillary service not reflecting
CLR-01528,Cancelled,B2B_Agent,Emirates,Other,pnr not found in airline system after ticketing
CLR-01529,Refunded,API_Partner,Air France,Baggage,unable to add extra baggage through portal
CLR-01540,Refunded,B2C_Website,Lufthansa,Other,coupon status shows used but passenger never flew
CLR-01549,Cancelled,B2C_Website,Emirates,Other,meal preference not available onboard
CLR-01550,Ticketed,Mobile_App,KLM,Ticketing Issues,visa rejected but non refundable ticket purchased
CLR-01563,Refunded,B2C_Website,British Airways,Baggage,baggage not received at destination
CLR-01568,Refunded,B2C_Website,Etihad Airways,Ticketing Issues,visa rejected but non refundable ticket purchased
CLR-01571,Refunded,B2B_Agent,Singapore Airlines,Other,duplicate charge on credit card for same booking
CLR-01572,Ticketed,API_Partner,Air Canada,Ticketing Issues,infant ticket pricing seems incorrect
CLR-01582,Refunded,Mobile_App,American Airlines,Other,meal preference not available onboard
CLR-01586,Refunded,B2C_Website,Emirates,Other,flight delayed by 3 hours requesting compensation
CLR-01588,Refunded,Mobile_App,American Airlines,Other,meal preference not available onboard
CLR-01592,Refunded,B2C_Website,Singapore Airlines,Other,connection time too short missed connecting flight
CLR-01613,Cancelled,B2C_Website,American Airlines,Other,coupon status shows used but passenger never flew
CLR-01619,Ticketed,B2B_Agent,American Airlines,Ticketing Issues,infant ticket pricing seems incorrect
CLR-01622,Ticketed,B2C_Website,British Airways,Baggage,baggage not received at destination
CLR-01645,Cancelled,B2B_Agent,Condor,Other,seat allocation issue paid for window got middle
CLR-01647,Cancelled,B2B_Agent,Condor,Baggage,unable to add extra baggage through portal
CLR-01650,Refunded,B2C_Website,Air France,Other,coupon status shows used but passenger never flew
CLR-01651,Ticketed,B2C_Website,Etihad Airways,Other,seat allocation issue paid for window got middle
CLR-01674,Refunded,B2C_Website,Singapore Airlines,Other,seat allocation issue paid for window got middle
CLR-01680,Ticketed,B2B_Agent,Air Canada,Other,coupon status shows used but passenger never flew
CLR-01688,No-Show,B2B_Agent,American Airlines,Baggage,unable to add extra baggage through portal
CLR-01702,Ticketed,Mobile_App,KLM,Refund Issues,refund not processed after 30 days
CLR-01713,Confirmed,B2C_Website,Emirates,Ticketing Issues,name spelling error on ticket needs correction
CLR-01721,Ticketed,B2C_Website,Air France,Ticketing Issues,infant ticket pricing seems incorrect
CLR-01730,Ticketed,B2C_Website,Air Canada,Other,pnr not found in airline system after ticketing
CLR-01750,Confirmed,B2C_Website,Air Canada,Other,duplicate charge on credit card for same booking
CLR-01771,Cancelled,B2C_Website,Etihad Airways,Baggage,unable to add extra baggage through portal
CLR-01775,Cancelled,B2B_Agent,Singapore Airlines,Baggage,baggage not received at destination
CLR-01777,Confirmed,B2C_Website,Emirates,Ticketing Issues,infant ticket pricing seems incorrect
CLR-01781,Refunded,B2B_Agent,Condor,Other,schedule change not communicated
CLR-01783,Ticketed,B2C_Website,Condor,Pricing Error,fare difference charged incorrectly during rebooking
CLR-01784,Refunded,API_Partner,Air France,Other,flight delayed by 3 hours requesting compensation
CLR-01786,Cancelled,B2B_Agent,KLM,Ticketing Issues,infant ticket pricing seems incorrect
CLR-01796,Ticketed,API_Partner,Air France,Baggage,baggage not received at destination
CLR-01801,Cancelled,B2C_Website,American Airlines,Other,duplicate charge on credit card for same booking
CLR-01808,Ticketed,B2C_Website,KLM,Other,coupon status shows used but passenger never flew
CLR-01818,Ticketed,Mobile_App,British Airways,Other,duplicate charge on credit card for same booking
CLR-01828,Cancelled,API_Partner,Air France,Other,pnr not found in airline system after ticketing
CLR-01837,Ticketed,B2B_Agent,Condor,Pricing Error,fare difference charged incorrectly during rebooking
CLR-01839,Ticketed,B2C_Website,Air France,Other,meal preference not available onboard
CLR-01869,Confirmed,B2B_Agent,Air France,Refund Issues,refund not processed after 30 days
CLR-01893,Ticketed,API_Partner,Condor,Other,meal preference not available onboard
CLR-01894,Refunded,B2B_Agent,KLM,Ticketing Issues,visa rejected but non refundable ticket purchased
CLR-01895,Cancelled,B2C_Website,Lufthansa,Ticketing Issues,name spelling error on ticket needs correction
CLR-01896,Cancelled,API_Partner,Etihad Airways,Other,seat allocation issue paid for window got middle
CLR-01898,Ticketed,API_Partner,Lufthansa,Ticketing Issues,name spelling error on ticket needs correction
CLR-01908,No-Show,B2B_Agent,Singapore Airlines,Other,seat allocation issue paid for window got middle
CLR-01918,Refunded,B2C_Website,Air Canada,Other,coupon status shows used but passenger never flew
CLR-01920,Ticketed,API_Partner,Emirates,Other,pnr not found in airline system after ticketing
CLR-01923,Ticketed,API_Partner,Lufthansa,Other,meal preference not available onboard
CLR-01928,Refunded,B2C_Website,Emirates,Other,coupon status shows used but passenger never flew
CLR-01939,Ticketed,API_Partner,American Airlines,Ticketing Issues,infant ticket pricing seems incorrect
CLR-01943,Ticketed,B2C_Website,Condor,Other,duplicate charge on credit card for same booking
CLR-01948,Ticketed,API_Partner,Air France,Other,seat allocation issue paid for window got middle
CLR-01950,Confirmed,B2C_Website,Air France,Other,coupon status shows used but passenger never flew
CLR-01951,Cancelled,B2C_Website,Emirates,Other,duplicate charge on credit card for same booking
CLR-01959,Cancelled,API_Partner,KLM,Baggage,unable to add extra baggage through portal
CLR-01968,Cancelled,B2B_Agent,British Airways,Other,schedule change not communicated
CLR-01975,Cancelled,B2C_Website,Air France,Other,coupon status shows used but passenger never flew
CLR-02000,Refunded,B2B_Agent,Singapore Airlines,Other,meal preference not available onboard
